Header
rate=30
frames=194
duration=6.4
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
5.643000,171,0,-2,3,-10,61,20,-30,-8,60,16,-30,3,-3,27,0
5.676000,172,0,-2,3,-10,58,19,-28,-7,57,15,-29,3,-3,26,0
5.709000,173,0,-2,2,-10,55,19,-27,-7,55,15,-28,2,-3,25,0
5.742000,174,0,-2,2,-9,53,18,-26,-7,52,14,-26,2,-3,24,0
5.775000,175,0,-2,2,-9,50,17,-24,-6,49,13,-25,2,-3,23,0
5.808000,176,0,-2,2,-8,47,16,-23,-6,47,13,-24,2,-3,21,0
5.841000,177,0,-2,2,-8,44,15,-22,-6,44,12,-22,2,-3,20,0
5.874000,178,0,-1,2,-7,42,14,-20,-5,41,11,-21,2,-2,19,0
5.907000,179,0,-1,2,-7,39,13,-19,-5,38,10,-19,2,-2,18,0
5.940000,180,0,-1,2,-6,36,12,-18,-5,36,10,-18,2,-2,16,0
5.973000,181,0,-1,2,-6,33,11,-16,-4,33,9,-17,2,-2,15,0
6.006000,182,0,-1,2,-5,31,10,-15,-4,30,8,-15,2,-2,14,0
6.039000,183,0,-1,1,-5,28,10,-14,-4,28,8,-14,1,-2,13,0
6.072000,184,0,-1,1,-5,25,9,-12,-3,25,7,-13,1,-2,12,0
6.105000,185,0,-1,1,-4,22,8,-11,-3,22,6,-11,1,-2,10,0
6.138000,186,0,-1,1,-4,20,7,-10,-3,19,5,-10,1,-1,9,0
6.171000,187,0,-1,1,-3,17,6,-8,-2,17,5,-9,1,-1,8,0
6.204000,188,0,-1,1,-3,14,5,-7,-2,14,4,-7,1,-1,7,0
6.237000,189,0,-1,1,-2,11,4,-6,-2,11,3,-6,1,-1,5,0
6.270000,190,0,-1,1,-2,9,3,-4,-1,9,3,-5,1,-1,4,0
6.303000,191,0,-1,1,-1,6,2,-3,-1,6,2,-3,1,-1,3,0
6.336000,192,0,-1,1,-1,3,1,-2,-1,3,1,-2,1,-1,2,0
6.369000,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.402000,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
